Date,prices,prices_delta,log_returns,daily_vol,daily_vol_dollar,price_dev,annual_vol
2012-08-14,57.59,-0.8899999999999935,-0.015335873922942334,0.01185887977050318,0.6829528859832782,-1.8381417840618557,0.18825388020339684
2012-08-15,59.509997999999996,1.9199979999999925,0.032795390530382384,0.021036587815840127,1.2518872988474703,2.8113183784788967,0.3339454787645065
2012-08-16,60.66,1.1500020000000006,0.01914017021147174,0.021830540261623007,1.3242405722700514,0.9186146397193512,0.34654908311062443
2012-08-17,63.189999,2.5299990000000037,0.040861542699639486,0.024810467796932124,1.567773435277673,1.9105282325423742,0.3938539662111538
2012-08-20,61.509997999999996,-1.6800010000000043,-0.026946314254836956,0.03029615855931194,1.8635166523909603,-1.0715840453709782,0.4809366073711217
2012-08-21,61.060001,-0.4499969999999962,-0.007342727021172557,0.029725106721943582,1.8150150461669818,-0.24147731624648136,0.47187144048670265
2012-08-22,62.84,1.7799990000000037,0.02873480970335507,0.03143099795719684,1.9751239116302495,0.9807075725124558,0.49895162431993206
2012-08-23,64.360001,1.5200009999999935,0.023900524274362844,0.02641210093455348,1.6998828425599628,0.7695724764657416,0.419279104053391
2012-08-24,63.869999,-0.49000199999999694,-0.0076425857450885815,0.0196202963106246,1.253148305739297,-0.28825633610259366,0.31146254812386476
2012-08-27,64.370003,0.500003999999997,0.007797980753390554,0.016527015290727847,1.0638440238451974,0.39899826517741555,0.2623582342405664
2012-08-28,65.089996,0.7199930000000023,0.011123133460836598,0.012971575865403383,0.8443198211928028,0.6767843629911393,0.20591738311478883
2012-08-29,65.529999,0.44000300000000436,0.006737171660297747,0.008310431955895932,0.5445825977594285,0.5211330931191398,0.1319240174569484
2012-08-30,64.650002,-0.879997000000003,-0.013519901637545573,0.011193372013769444,0.7236515230769386,-1.61591098140221,0.17768927208398522
2012-08-31,65.190002,0.5400000000000063,0.008317977462326098,0.011269892298769442,0.7346843014965646,0.7462155233280612,0.1789039939501559
2012-09-04,66.879997,1.6899949999999961,0.02559381030398633,0.016004297892324798,1.0703673950257888,2.3003009545153574,0.2540603527877196
2012-09-05,66.720001,-0.1599960000000067,-0.002395150881485897,0.01665118357238708,1.1109669846008494,-0.1494776473419688,0.26432934460452173
2012-09-06,68.599998,1.879997000000003,0.02778773253881983,0.014409194334986022,0.9884707025616524,1.6922168039723091,0.22873886881904243
